SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22021,203507,0022100744,"JAN 28, 2022",MIL vs. NYK,W,34,12,19,0.632,2,6,0.333,12,16,0.75,3,10,13,5,1,0,4,5,38,19,1
22021,203507,0022100722,"JAN 26, 2022",MIL @ CLE,L,29,7,13,0.538,1,3,0.333,11,12,0.917,1,8,9,3,1,0,7,3,26,-11,1
22021,203507,0022100690,"JAN 21, 2022",MIL vs. CHI,W,37,11,23,0.478,0,3,0.0,8,12,0.667,1,11,12,3,1,2,3,3,30,1,1
22021,203507,0022100674,"JAN 19, 2022",MIL vs. MEM,W,31,12,25,0.48,2,4,0.5,7,8,0.875,3,12,15,7,2,1,5,6,33,10,1
22021,203507,0022100660,"JAN 17, 2022",MIL @ ATL,L,37,8,20,0.4,1,3,0.333,10,14,0.714,1,5,6,6,1,1,5,4,27,-17,1
22021,203507,0022100641,"JAN 15, 2022",MIL vs. TOR,L,35,6,17,0.353,1,3,0.333,17,17,1.0,0,6,6,4,0,2,4,5,30,-9,1
22021,203507,0022100627,"JAN 13, 2022",MIL vs. GSW,W,30,11,17,0.647,0,2,0.0,8,12,0.667,2,10,12,11,0,3,5,2,30,22,1
22021,203507,0022100607,"JAN 10, 2022",MIL @ CHA,L,35,10,18,0.556,1,5,0.2,5,8,0.625,1,12,13,8,1,1,6,2,26,6,1
22021,203507,0022100592,"JAN 08, 2022",MIL @ CHA,L,37,11,20,0.55,3,6,0.5,18,20,0.9,2,10,12,3,1,2,3,5,43,-13,1
22021,203507,0022100583,"JAN 07, 2022",MIL @ BKN,W,27,11,17,0.647,2,5,0.4,7,10,0.7,1,6,7,9,0,0,4,3,31,16,1
22021,203507,0022100556,"JAN 03, 2022",MIL vs. DET,L,36,11,21,0.524,0,4,0.0,9,13,0.692,1,9,10,7,1,0,3,2,31,-12,1
22021,203507,0022100539,"JAN 01, 2022",MIL vs. NOP,W,32,12,18,0.667,2,4,0.5,9,12,0.75,1,15,16,10,2,0,4,4,35,25,1
22021,203507,0022100526,"DEC 30, 2021",MIL @ ORL,W,31,13,22,0.591,1,4,0.25,6,6,1.0,2,10,12,5,2,2,4,4,33,17,1
22021,203507,0022100508,"DEC 28, 2021",MIL @ ORL,W,30,10,19,0.526,1,4,0.25,7,10,0.7,0,6,6,6,0,1,2,5,28,13,1
22021,203507,0022100489,"DEC 25, 2021",MIL vs. BOS,W,30,13,23,0.565,0,2,0.0,10,15,0.667,3,9,12,5,0,2,2,4,36,-1,1
22021,203507,0022100408,"DEC 13, 2021",MIL @ BOS,L,34,7,14,0.5,0,3,0.0,6,8,0.75,1,7,8,3,1,0,4,2,20,-19,1
22021,203507,0022100398,"DEC 12, 2021",MIL @ NYK,W,32,7,16,0.438,0,2,0.0,6,8,0.75,3,7,10,11,1,1,3,4,20,9,1
22021,203507,0022100386,"DEC 10, 2021",MIL @ HOU,W,37,15,20,0.75,1,3,0.333,10,14,0.714,6,11,17,5,3,2,5,5,41,4,1
22021,203507,0022100370,"DEC 08, 2021",MIL @ MIA,L,33,4,13,0.308,0,2,0.0,7,12,0.583,1,5,6,4,1,1,3,3,15,-11,1
22021,203507,0022100358,"DEC 06, 2021",MIL vs. CLE,W,27,9,19,0.474,3,3,1.0,6,7,0.857,3,9,12,2,0,1,4,5,27,14,1
22021,203507,0022100324,"DEC 01, 2021",MIL vs. CHA,W,38,15,24,0.625,1,4,0.25,9,13,0.692,3,9,12,9,1,0,6,3,40,4,1
